source_row_id,style_id,sku,component,material,composition,net_weight,vendor,country,order_date,quantity,unit_price
1,TSH-01,TSH-01-BLK-XS,shell fabric,cotton,100% cotton,147 g,Bharat Mills,India,2024-04-08,1050,5.86
2,TSH-01,TSH-01-BLK-XS,rib collar,cotton,97% cotton / 3% elastane,12 g,Bharat Mills,India,2024-04-08,1050,12.88
3,TSH-01,TSH-01-BLK-XS,side tape,polyester,100% polyester,4 g,Bharat Mills,India,2024-04-08,1050,16.42
4,TSH-01,TSH-01-BLK-XS,care label,polyester,100% polyester,1 g,Bharat Mills,India,2024-04-08,1050,13.85
5,TSH-01,TSH-01-BLK-XS,brand label,cotton,100% cotton,2 g,Bharat Mills,India,2024-04-08,1050,20.33
6,TSH-02,TSH-02-BLK-S,shell fabric,cotton,100% cotton,170 g,Oceanic Fabrics,Vietnam,2024-06-09,1150,2.87
7,TSH-02,TSH-02-BLK-S,rib collar,cotton,97% cotton / 3% elastane,,Oceanic Fabrics,Vietnam,2024-06-09,1150,20.27
8,TSH-02,TSH-02-BLK-S,side tape,polyester,100% polyester,,Oceanic Fabrics,Vietnam,2024-06-09,1150,18.38
9,TSH-02,TSH-02-BLK-S,thread,polyester,100% polyester,2 g,Oceanic Fabrics,Vietnam,2024-06-09,1150,9.77
10,TSH-02,TSH-02-BLK-S,care label,polyester,100% polyester,1 g,Oceanic Fabric,Vietnam,2024-06-09,1150,14.02
11,TSH-02,TSH-02-BLK-S,size label,polyester,100% polyester,1 g,Oceanic Fabrics,Vietnam,2024-06-09,1150,21.61
12,TSH-03,TSH-03-RED-S,shell fabric,cotton,70/30 CO/PL,132 g,Acme Textiles,Portugal,2024-01-22,1650,11.61
13,TSH-03,TSH-03-RED-S,rib collar,cotton,97% cotton / 3% elastane,12 g,ACME TEXTILES,Portugal,2024-01-22,1650,9.20
14,TSH-03,TSH-03-RED-S,side tape,polyester,100% polyester,4 g,Acme Textiles,Portugal,2024-01-22,1650,16.92
15,TSH-03,TSH-03-RED-S,thread,polyester,100% polyester,3 g,Acme Textiles Ltd.,Portugal,2024-01-22,1650,2.25
16,TSH-03,TSH-03-RED-S,care label,polyester,100% polyester,1 g,Acme Textiles,Portugal,2024-01-22,1650,16.06
17,TSH-03,TSH-03-RED-S,size label,polyester,100% polyester,1 g,Acme Textiles,Portugal,2024-01-22,1650,11.83
