vintage,material,true_mass_kg,factor_kgco2e_per_kg,true_footprint_kgco2e
v1,brass,34.400000,4.2000,144.480000
v1,cotton,40392.300000,3.4151,137943.743730
v1,metal,93.750000,3.5000,328.125000
v1,nylon,776.550000,12.3703,9606.156465
v1,polyester,4600.900000,4.8288,22216.825920
v1,viscose,8231.250000,4.9672,40886.265000
v2,brass,37.840000,4.2000,158.928000
v2,cotton,40004.908000,3.4151,136620.761311
v2,metal,82.235000,3.5000,287.822500
v2,nylon,698.895000,12.3703,8645.540819
v2,organic cotton,2204.100000,0.9991,2202.116310
v2,polyester,4058.281000,5.3000,21508.889300
v2,viscose,6996.443000,4.9672,34752.731670
