component,ref_weight_g,band_low_g,band_high_g,source
brand label,2,1,6,representative component weight (fixture-calibrated)
button,5,2,15,representative component weight (fixture-calibrated)
care label,1,1,3,representative component weight (fixture-calibrated)
drawcord,6,3,18,representative component weight (fixture-calibrated)
hood lining,90,40,150,representative component weight (fixture-calibrated)
hook and eye,2,1,6,representative component weight (fixture-calibrated)
lining,80,30,240,representative component weight (fixture-calibrated)
metal eyelet,2,1,6,representative component weight (fixture-calibrated)
pocket lining,44,17,130,representative component weight (fixture-calibrated)
rib collar,12,5,36,representative component weight (fixture-calibrated)
rib cuffs,37,15,110,representative component weight (fixture-calibrated)
sequin panel,33,11,100,representative component weight (fixture-calibrated)
shell fabric,300,90,900,representative component weight (fixture-calibrated)
side tape,4,2,12,representative component weight (fixture-calibrated)
size label,1,1,3,representative component weight (fixture-calibrated)
thread,3,1,9,representative component weight (fixture-calibrated)
waistband,49,19,150,representative component weight (fixture-calibrated)
webbing strap,33,8,110,representative component weight (fixture-calibrated)
zipper,16,7,48,representative component weight (fixture-calibrated)
