ID (AXXXX);Area;Collector_site;Sorted_as;Collection;Weight [gram];Product type (#);Manufacturing method (K, T, Others (O), Unknown (U));Membrane (0,1);Color;Wearer/purpose (M, F, U);Age category (A, C, B);Brand Source (0,1);Company/brand;Number of velcro  (0,1+);Number of metal buttons  (0,1+);Number of plastic buttons  (0,1+);Number of metal zippers  (0,1+);Number of plastic zippers  (0,1+);Number of metal rivets, eyelets or aglets (0,1+);Number of pearls (0,1+);Sequins (0,1);Reflector (0,1+);Print (0,1);Print > 100 cm² (0,1);All over printed (0,1);Other extra parts (0,1+);Care Label Present (0,1);Readable label (0,1);Number of Layers (1+);Number of fibre (1+);Made in;Year present obvious (0,1);Production year (XXXX);Guess Year (n, o, u);Code (CVR/CA/RN) if no brand;Price Tag (0,1);Degree-of-wear (Condition scale, 1-5);Holes in front (0,1+);Holes in total (0,1+);Homemade (0,1);Fibre 1 Layer 1;Fibre 1 Layer 1 [%];Fibre 2 Layer 1;Fibre 2 Layer 1 [%];Fibre 3 Layer 1;Fibre 3 Layer 1 [%];Fibre 4 Layer 1;Fibre 4 Layer 1 [%];Fibre 5 Layer 1;Fibre 5 Layer 1 [%];Fibre 6 Layer 1;Fibre 6 Layer 1 [%];Fibre 1 Layer 2;Fibre 1 Layer 2 [%];Fibre 2 Layer 2;Fibre 2 Layer 2 [%];Fibre 3 Layer 2;Fibre 3 Layer 2 [%];Fibre 4 Layer 2;Fibre 4 Layer 2 [%];Fibre 5 Layer 2;Fibre 5 Layer 2 [%];Fibre 6 Layer 2;Fibre 6 Layer 2 [%];Fibre 1 Layer 3;Fibre 1 Layer 3 [%];Fibre 2 Layer 3;Fibre 2 Layer 3 [%];Fibre 3 Layer 3;Fibre 3 Layer 3 [%];Fibre 4 Layer 3;Fibre 4 Layer 3 [%];Fibre 5 Layer 3;Fibre 5 Layer 3 [%];Fibre 1 Layer 4;Fibre 1 Layer 4 [%];Fibre 2 Layer 4;Fibre 2 Layer 4 [%]
A0001;Aalesund;Attvin_multiple;T_waste;Central;507;11;t;0;multi-color pattern;m;a;0;NaN;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;chn;0;NaN;n;NaN;0;4;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0002;Aalesund;Attvin_multiple;T_waste;Central;444;5;t;0;blue;f;a;1;floyd;0;4;1;0;0;4;0;0;0;0;0;0;0;1;1;1;2;chn;0;NaN;n;NaN;0;5;0;0;0;cotton;98;elastane;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0003;Aalesund;Attvin_multiple;T_waste;Central;453;5;t;NaN;blue;f;a;1;kappahl;NaN;4;0;0;0;2;0;NaN;NaN;0;0;0;NaN;1;1;1;4;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;75;polyester;15;viscose;8;elastane;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0004;Aalesund;Attvin_multiple;T_waste;Central;310;5;t;NaN;multi-color;u;a;1;umbro;NaN;0;0;0;4;0;0;NaN;NaN;1;1;0;NaN;1;0;1;3;not declared;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0005;Aalesund;Attvin_multiple;T_waste;Central;380;9;t;0;red;f;a;1;norbelle;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;not declared;0;NaN;n;NaN;0;5;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0006;Aalesund;Attvin_multiple;T_waste;Central;449;5;t;0;blue;u;c;1;h&m;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;3;bgd;0;NaN;n;o/n: 605322, p/n: 06890148;0;5;0;0;0;cotton;78;polyester;21;elastane;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0007;Aalesund;Attvin_multiple;T_waste;Central;474;5;t;0;blue;f;a;1;y.a.s;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;3;tur;1;2016;NaN;cvr: 88216512, ca:57831, rn:149349;NaN;5;0;0;0;polyester;62;viscose;33;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0008;Aalesund;Attvin_multiple;T_waste;Central;208;6;t;0;grey;f;a;1;kappahl;0;4;0;0;0;4;0;0;0;0;0;0;0;1;1;1;2;bgd;0;NaN;n;70386/860196;0;5;0;0;0;cotton;97;elastane;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0009;Aalesund;Attvin_multiple;T_waste;Central;236;6;t;0;green;f;a;0;days like this;NaN;0;1;1;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;chn;0;NaN;NaN;7179640009;0;NaN;3;0;1;cotton;98;elastane;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0010;Aalesund;Attvin_multiple;T_waste;Central;486;6;t;0;white;m;a;1;adidas;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2;1;pak;0;NaN;n;fn2255;0;3;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
