table_num,table_name,Item,fiber,period,period_name,value,unit
1,"U.S. textile imports, by fiber",Apparel,Cotton,1989,calendar year,1435545444,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,1990,calendar year,1508727517,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,1991,calendar year,1580062034,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,1992,calendar year,1980945043,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,1993,calendar year,2244206079,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,1994,calendar year,2539924168,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,1995,calendar year,2795603235,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,1996,calendar year,2947247753,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,1997,calendar year,3549469421,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,1998,calendar year,4255178323,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,1999,calendar year,4789067173,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2000,calendar year,5311405456,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2001,calendar year,5311586241,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2002,calendar year,5841612975,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2003,calendar year,6426609309,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2004,calendar year,6581354943,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2005,calendar year,7283147292,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2006,calendar year,7568697868,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2007,calendar year,7640358461,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2008,calendar year,7239941661,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2009,calendar year,6537531558,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2010,calendar year,7259145546,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2011,calendar year,6415290668,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2012,calendar year,6074085455,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2013,calendar year,6240754244,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2014,calendar year,6116651791,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2015,calendar year,6344006691,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2016,calendar year,6087621941,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2017,calendar year,6098658091,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Cotton,2018,calendar year,6365546579,raw fiber equivalent pounds
